	lexeme	ai1P	ai1S	ai2P	ai2S	ai3P	ai3S	fi1P	fi1S	fi2P	fi2S	fi3P	fi3S	ii1P	ii1S	ii2P	ii2S	ii3P	ii3S	inf	is1P	is1S	is2P	is2S	is3P	is3S	pI1P	pI2P	pI2S	pP	pc1P	pc1S	pc2P	pc2S	pc3P	pc3S	pi1P	pi1S	pi2P	pi2S	pi3P	pi3S	ppFP	ppFS	ppMP	ppMS	ps1P	ps1S	ps2P	ps2S	ps3P	ps3S	freqLexeme
140	agacer						2.0	1.0	1.0	1.0	1.0	1.0	9.0		7.0	4.0	3.0	7.0	59.0	330.0							2.0	7.0	44.0	42.0		1.0		2.0		10.0		249.0	37.0	95.0	83.0	254.0	3.0	96.0	29.0	288.0				1.0			1669.0
141	agencer																	2.0	2.0	18.0								2.0	1.0	1.0						1.0		3.0			6.0	30.0	6.0	6.0	10.0	34.0				6.0			128.0
142	agenouiller		4.0			3.0	18.0	6.0	18.0	6.0	17.0	18.0	28.0	2.0	6.0	4.0		3.0	10.0	431.0							13.0	144.0	166.0	15.0		5.0			1.0	4.0	13.0	91.0	45.0	44.0	38.0	141.0	2.0	61.0	23.0	153.0				2.0			1535.0
143	agglomérer																	1.0		3.0										3.0											4.0	1.0	5.0	1.0		5.0							23.0
144	agglutiner																	6.0	1.0	8.0								3.0		1.0					1.0						25.0	4.0	7.0	1.0	22.0	6.0							85.0
145	aggraver					2.0	10.0	2.0	2.0	5.0	1.0	7.0	29.0	1.0		4.0		4.0	25.0	756.0							21.0	68.0	96.0	10.0		3.0		1.0	4.0	38.0	2.0	9.0	55.0	67.0	88.0	489.0	43.0	152.0	45.0	437.0					1.0		2477.0
146	agir					10.0	93.0	102.0	181.0	85.0	50.0	81.0	344.0	44.0	134.0	134.0	100.0	108.0	3831.0	12683.0					1.0	36.0	177.0	615.0	577.0	546.0	5.0	82.0	33.0	36.0	26.0	525.0	291.0	800.0	768.0	1717.0	1067.0	33945.0		2.0	511.0	4196.0	1.0	111.0	1.0	92.0		851.0	64992.0
147	agiter					4.0	18.0	2.0	20.0	2.0	4.0	11.0	19.0	1.0	23.0	15.0	19.0	32.0	109.0	853.0								143.0	184.0	232.0		6.0	1.0	1.0	1.0	10.0	5.0	76.0	66.0	133.0	258.0	661.0	41.0	305.0	99.0	610.0							3964.0
148	agneler						1.0																																														1.0
149	agonir																			6.0																					2.0		1.0	9.0		2.0							20.0
150	agoniser						1.0			4.0	2.0	3.0	2.0	1.0	5.0	2.0	1.0	5.0	63.0	129.0								4.0	4.0	22.0		1.0			1.0		1.0	40.0	2.0	8.0	31.0	149.0				15.0							496.0
151	agrafer					1.0			4.0		1.0		2.0		1.0				3.0	110.0							3.0	8.0	14.0	1.0		2.0					1.0	13.0	5.0	7.0	2.0	17.0	10.0	6.0	16.0	82.0							309.0
152	agrainer																																									1.0											1.0
153	agrandir					2.0		1.0	6.0	2.0		6.0	22.0		2.0	1.0	1.0	2.0	24.0	968.0							13.0	101.0	103.0	26.0		5.0	1.0	1.0	1.0	9.0	8.0	41.0	10.0	12.0	46.0	274.0	19.0	103.0	35.0	228.0		6.0		6.0		19.0	2104.0
154	agresser						1.0		5.0	1.0	1.0	2.0	7.0	1.0	1.0	2.0	8.0	16.0	60.0	1102.0								15.0	47.0	44.0			1.0		2.0	5.0	2.0	69.0	49.0	102.0	66.0	279.0	72.0	1171.0	166.0	2397.0	1.0						5695.0
155	agripper				1.0	2.0	10.0		2.0		1.0		3.0		4.0	4.0	5.0	6.0	37.0	167.0								44.0	94.0	41.0		2.0						23.0	13.0	40.0	32.0	84.0	8.0	78.0	10.0	127.0							838.0
156	agréer						2.0			1.0			7.0							61.0								7.0	1.0							2.0		3.0	2.0	6.0	7.0	32.0	2.0	11.0	9.0	39.0							192.0
157	agréger																			1.0										3.0											3.0	2.0	1.0	6.0		20.0							36.0
158	agrémenter						1.0						1.0						1.0	48.0								1.0		1.0						1.0		4.0		1.0	3.0	8.0	1.0	12.0	3.0	30.0							116.0
159	aguerrir											1.0	2.0							17.0									1.0													2.0		4.0	5.0	12.0							44.0
160	aguicher												1.0			1.0	2.0	1.0	6.0	56.0								1.0	1.0	7.0								1.0	1.0	4.0	6.0	12.0			5.0	24.0							129.0
161	ahaner						2.0													2.0										2.0											1.0	3.0											10.0
162	ahurir												1.0							1.0										8.0													1.0	1.0	3.0	15.0							30.0
163	aicher																			1.0																																	1.0
164	aider		7.0			25.0	364.0	372.0	3302.0	814.0	754.0	918.0	6770.0	81.0	985.0	926.0	256.0	186.0	1545.0	146439.0							224.0	16951.0	13860.0	872.0	35.0	823.0	375.0	484.0	201.0	3533.0	338.0	7892.0	2764.0	5594.0	1945.0	13349.0	143.0	3204.0	1806.0	15280.0	4.0	16.0	36.0	37.0	3.0	16.0	253529.0
165	aigrir												2.0						1.0	5.0												1.0						1.0			2.0	8.0	4.0	46.0	10.0	95.0						4.0	179.0
166	aiguer																												3.0											10.0		69.0											82.0
167	aiguiller						1.0		3.0				2.0	1.0					1.0	53.0							1.0	3.0	6.0	2.0						1.0	1.0	1.0		2.0	3.0	75.0	1.0	8.0	10.0	37.0				200.0			412.0
168	aiguillonner																		2.0	7.0								1.0	1.0									1.0				2.0		3.0	2.0	2.0							21.0
169	aiguiser					1.0	1.0		2.0	2.0	1.0		7.0		3.0			1.0	5.0	215.0							5.0	33.0	28.0	14.0		1.0		1.0	1.0	4.0	1.0	18.0	3.0	11.0	25.0	88.0	16.0	58.0	46.0	152.0							743.0
170	ailler		1.0					1.0						5.0	37.0	16.0	2.0	2.0	6.0	6.0							2.0	21.0		10.0							20.0		70.0					1.0		1.0			2.0				203.0
171	aimanter																			2.0									1.0											1.0	2.0	13.0	7.0	15.0	14.0	26.0							81.0
172	aimer		26.0	4.0	6.0	21.0	66.0	109.0	6732.0	831.0	1099.0	411.0	1733.0	440.0	12796.0	2467.0	5249.0	1832.0	15433.0	24383.0		2.0				5.0	124.0	1487.0	2264.0	411.0	2346.0	67674.0	3894.0	4845.0	1168.0	7398.0	3057.0	156102.0	17881.0	43582.0	15447.0	74687.0	204.0	2881.0	737.0	24977.0		326.0	62.0	88.0	4.0	123.0	505414.0
173	airer		111.0				10.0								8.0		1.0		2.0																							103.0								15.0			250.0
174	ajointer																																									1.0											1.0
175	ajourer																												1.0														1.0	1.0		4.0							7.0
176	ajourner						2.0	2.0						3.0					1.0	128.0							12.0	7.0	5.0	2.0	1.0				1.0		4.0	18.0	1.0	3.0	1.0	23.0	4.0	229.0	12.0	87.0							546.0
177	ajouter		5.0		1.0	4.0	48.0	40.0	308.0	39.0	13.0	24.0	145.0	9.0	28.0	20.0	11.0	28.0	110.0	6117.0							122.0	806.0	208.0	260.0	3.0	163.0	5.0	5.0	5.0	53.0	55.0	704.0	155.0	300.0	193.0	1554.0	62.0	161.0	99.0	1934.0				1.0		1.0	13799.0
178	ajuster		2.0				4.0	10.0	15.0	1.0	1.0	3.0	20.0	1.0	16.0	2.0	3.0	4.0	17.0	777.0							6.0	131.0	63.0	36.0			1.0	1.0			9.0	90.0	13.0	24.0	32.0	196.0	12.0	48.0	24.0	178.0						1.0	1741.0
179	alambiquer																																									2.0	1.0	8.0	2.0	5.0							18.0
180	alanguir																		1.0																							1.0		5.0	1.0	1.0							9.0
181	alarmer						2.0		2.0		1.0		3.0					2.0	2.0	375.0							5.0	76.0	8.0	14.0					1.0	3.0	1.0	4.0	13.0	4.0	7.0	73.0	3.0	22.0	28.0	69.0				1.0			719.0
182	alcaliniser																			2.0								3.0	1.0																								6.0
183	alcooliser																			13.0								1.0		1.0												3.0	26.0	20.0	9.0	43.0							116.0
184	alentir																											1.0																									1.0
185	alerter					2.0	10.0	6.0	25.0	5.0	1.0	9.0	51.0	1.0	4.0	5.0			7.0	891.0							25.0	326.0	54.0	22.0		4.0	2.0	1.0	4.0	27.0	4.0	89.0	19.0	9.0	28.0	122.0	17.0	71.0	128.0	529.0		1.0				57.0	2556.0
186	aligner						1.0	4.0	9.0	3.0	1.0	32.0	18.0		9.0	3.0		13.0	21.0	520.0							13.0	325.0	98.0	36.0		5.0			4.0	4.0	4.0	57.0	35.0	43.0	150.0	169.0	122.0	48.0	242.0	185.0			2.0				2176.0
187	alimenter						3.0	4.0	6.0	2.0		4.0	40.0	2.0	6.0	2.0	3.0	15.0	37.0	842.0							10.0	29.0	22.0	38.0		2.0			2.0	9.0	10.0	32.0	17.0	12.0	110.0	391.0	19.0	136.0	88.0	361.0							2254.0
188	aliter						6.0													15.0							1.0									1.0		1.0				3.0	1.0	152.0	15.0	176.0							371.0
189	aliéner									2.0						1.0			3.0	74.0							1.0			4.0				1.0				2.0	5.0	5.0	1.0	19.0	2.0	9.0	15.0	64.0							208.0
190	alkyler																													4.0																							4.0
191	allaiter						3.0		7.0	1.0			4.0		15.0	3.0	5.0	1.0	21.0	285.0								3.0	10.0	12.0								47.0	21.0	24.0	19.0	74.0	1.0	24.0	16.0	91.0							687.0
192	aller	26.0	196.0	3.0	2.0	133.0	691.0	3647.0	17398.0	4118.0	5846.0	2500.0	42828.0	3253.0	32878.0	6715.0	9544.0	6207.0	48106.0	294155.0		5.0	1.0	1.0		8.0	105847.0	316306.0	160755.0	3002.0	480.0	5094.0	910.0	1665.0	592.0	7298.0	55609.0	540686.0	107391.0	240051.0	90275.0	878202.0	989.0	17799.0	9556.0	41262.0		12065.0		4710.0	1698.0	10850.0	3091353.0
193	allier				7.0	7.0	11.0					9.0	17.0	1.0	1.0	1.0	1.0	10.0	11.0	457.0									279.0	62.0		2.0	1.0		1.0	13.0		13.0	2.0	21.0	61.0	116.0	57.0	99.0	326.0	212.0							1798.0
194	allonger		2.0			1.0	13.0	2.0	34.0	4.0	15.0	4.0	20.0	4.0	33.0	21.0	17.0	12.0	75.0	2562.0							41.0	1002.0	1302.0	30.0		18.0	2.0	9.0	4.0	10.0	2.0	316.0	93.0	163.0	97.0	554.0	32.0	923.0	213.0	1637.0		2.0		1.0		1.0	9271.0
195	allouer								1.0				2.0					1.0		46.0								4.0									2.0	5.0	5.0		3.0	20.0	10.0	28.0	28.0	98.0							253.0
196	allumer		2.0			10.0	24.0	18.0	105.0	20.0	22.0	36.0	135.0	8.0	44.0	20.0	17.0	36.0	138.0	3800.0							191.0	1336.0	1978.0	124.0		29.0	3.0	6.0	2.0	17.0	28.0	761.0	141.0	370.0	302.0	1500.0	298.0	776.0	223.0	2548.0			1.0	5.0			15074.0
197	allécher																			15.0								1.0		6.0												4.0		1.0	2.0	6.0							35.0
198	alléger					1.0	5.0		1.0			2.0	18.0				2.0	4.0	8.0	453.0							2.0	19.0	10.0	9.0	1.0	1.0			1.0	8.0		15.0	3.0	2.0	12.0	58.0	25.0	134.0	51.0	296.0							1141.0
199	alléguer		1.0						1.0										2.0	5.0								1.0		16.0							2.0		1.0		1.0	12.0	3.0	5.0	2.0	17.0							69.0
200	alourdir						1.0		2.0			3.0	4.0					1.0	8.0	75.0									4.0	3.0						2.0		1.0	2.0	6.0	15.0	36.0	2.0	14.0	12.0	40.0		1.0					232.0
201	alpaguer																		2.0	40.0								3.0	1.0									2.0	1.0	4.0	4.0	7.0		1.0	1.0	28.0							94.0
202	alphabétiser																		1.0	7.0																				2.0		2.0				1.0							13.0
203	alterner							2.0	2.0		1.0	2.0	19.0	2.0	2.0	5.0		3.0	11.0	105.0							1.0	9.0	5.0	28.0		1.0				1.0	3.0	13.0	9.0	2.0	18.0	58.0	1.0	10.0	2.0	20.0							335.0
204	altérer								1.0			2.0	13.0			1.0		3.0	12.0	387.0						1.0	1.0	5.0	13.0	33.0	1.0	1.0			2.0	6.0	3.0	4.0	5.0	27.0	60.0	184.0	37.0	105.0	44.0	322.0							1273.0
205	aluminer																																													1.0							1.0
206	alunir							1.0					6.0	1.0						37.0									4.0	1.0	1.0											1.0				13.0						5.0	70.0
207	aléser																			2.0																										1.0							3.0
208	amadouer						1.0		1.0	1.0	3.0		3.0		1.0				3.0	425.0							2.0	10.0	8.0	6.0				1.0		1.0		9.0	3.0	4.0	2.0	19.0	1.0	6.0	5.0	35.0							550.0
209	amaigrir																			1.0										1.0											1.0	3.0		3.0	1.0	7.0							17.0
210	amalgamer			3.0																4.0								1.0		2.0						1.0			1.0			6.0	1.0	4.0	2.0	9.0							34.0
211	amariner						2.0																																						1.0								3.0
212	amarrer						6.0	2.0	1.0				4.0	1.0				1.0	9.0	129.0							1.0	43.0	13.0	3.0							4.0	2.0	1.0	3.0	10.0	21.0	5.0	21.0	55.0	213.0							548.0
213	amasser						3.0		4.0		3.0		4.0		5.0	2.0		5.0	23.0	222.0							1.0	17.0	25.0	12.0		1.0		1.0	2.0	1.0	4.0	18.0	6.0	16.0	46.0	90.0	16.0	13.0	30.0	228.0							798.0
214	amatir																												1.0																2.0	2.0							5.0
215	ambiancer																			1.0								1.0	2.0									1.0				13.0											18.0
216	ambitionner														2.0				2.0	3.0									1.0									5.0	3.0	4.0	3.0	11.0				1.0							35.0
217	ambler																			10.0																																	10.0
218	ambrer						5.0													1.0																						6.0	4.0	4.0	5.0	6.0				5.0			36.0
219	ambuler																																												2.0								2.0
220	amender								3.0	2.0		1.0	2.0		1.0				2.0	165.0								4.0	1.0							2.0	6.0	4.0	6.0	7.0	4.0	30.0	1.0	13.0	5.0	42.0							301.0
221	amener		6.0			31.0	144.0	75.0	829.0	95.0	103.0	123.0	781.0	33.0	219.0	160.0	82.0	104.0	514.0	13776.0						2.0	301.0	6195.0	5327.0	448.0	4.0	176.0	26.0	74.0	30.0	229.0	176.0	3411.0	754.0	1637.0	871.0	7937.0	262.0	2856.0	1422.0	13851.0		4.0	4.0	20.0	1.0	9.0	63102.0
222	amenuiser												2.0					6.0	6.0	10.0										4.0						1.0					57.0	47.0		2.0		1.0							136.0
223	amerrir						1.0						1.0						1.0	41.0								3.0		1.0											1.0	3.0				16.0						1.0	69.0
224	ameublir																			1.0																						1.0											2.0
225	ameuter								1.0		1.0	1.0	4.0							85.0							2.0	2.0	7.0	1.0						1.0		8.0	2.0	4.0	5.0	14.0	1.0		2.0	17.0							158.0
226	amidonner																			15.0								3.0	2.0									1.0	2.0		2.0	2.0	5.0	16.0	15.0	25.0							88.0
227	amincir												4.0					1.0	3.0	10.0																					8.0	53.0		3.0	1.0	5.0		2.0				1.0	91.0
228	amnistier						1.0			1.0			2.0					1.0	1.0	19.0								2.0		1.0					1.0			2.0			1.0	8.0	2.0	1.0	13.0	35.0							91.0
229	amocher								2.0				1.0				1.0		1.0	75.0								1.0	8.0	2.0		1.0						4.0	1.0	6.0	3.0	15.0	12.0	211.0	67.0	710.0							1121.0
230	amoindrir												2.0					2.0	1.0	45.0										1.0						1.0			2.0	1.0	2.0	29.0	7.0	14.0	12.0	41.0						1.0	161.0
231	amollir																	1.0	1.0	6.0															1.0			1.0	1.0	1.0	2.0	2.0		1.0	2.0	7.0							26.0
232	amonceler											1.0						6.0	3.0	12.0										2.0											17.0	3.0	1.0		1.0	2.0							48.0
233	amorcer					1.0	4.0	1.0		2.0		1.0	6.0					2.0	1.0	161.0							9.0	73.0	19.0	6.0						3.0	34.0	28.0	4.0	10.0	14.0	62.0	14.0	95.0	13.0	107.0							670.0
234	amortir									1.0	3.0	2.0	14.0		2.0			1.0		168.0							2.0	1.0	2.0	3.0			1.0			3.0		2.0		3.0	3.0	29.0	1.0	13.0	8.0	95.0						4.0	361.0
235	amouracher						2.0						2.0						1.0	39.0									5.0	1.0		1.0				1.0		3.0		8.0	6.0	20.0	2.0	33.0		34.0							158.0
236	amourer						2.0																																			2.0		1.0									5.0
237	amplifier					1.0	4.0	2.0	2.0			1.0	14.0	1.0				1.0	22.0	235.0							4.0	35.0	12.0	17.0		1.0				7.0	2.0	6.0	1.0	4.0	31.0	169.0	22.0	51.0	35.0	119.0							799.0
238	amputer						3.0		10.0	1.0	1.0	2.0	6.0	1.0	2.0	3.0		1.0	6.0	423.0							2.0	14.0	5.0	2.0		2.0	1.0	1.0	1.0	2.0	5.0	18.0	4.0	1.0	7.0	65.0	17.0	69.0	20.0	150.0							845.0
239	amurer																																													1.0				6.0		1.0	8.0
240	amuser		2.0			5.0	16.0	59.0	74.0	103.0	121.0	36.0	328.0	54.0	333.0	147.0	129.0	177.0	997.0	14246.0						2.0	412.0	3817.0	3933.0	1043.0	8.0	52.0	18.0	47.0	19.0	252.0	129.0	1911.0	1243.0	1924.0	975.0	5375.0	170.0	1284.0	1251.0	2132.0		4.0	1.0	32.0	2.0	11.0	42874.0
241	améliorer				1.0	3.0	15.0	11.0	21.0	9.0	16.0	34.0	228.0	1.0	15.0	3.0	3.0	32.0	63.0	4812.0							13.0	59.0	89.0	111.0	1.0	8.0	3.0	4.0	10.0	77.0	20.0	249.0	70.0	200.0	358.0	1377.0	113.0	379.0	122.0	1034.0				1.0		2.0	9567.0
242	aménager							2.0	4.0	2.0			10.0	2.0		2.0	2.0	1.0	3.0	217.0								8.0	2.0	4.0		1.0	1.0	1.0	1.0	1.0	5.0	16.0	3.0	5.0	11.0	27.0	11.0	54.0	17.0	215.0							628.0
243	américaniser						1.0													4.0									1.0													2.0		1.0	2.0	12.0							23.0
244	anagrammer																			1.0																						1.0											2.0
245	analgésier																			1.0																						2.0											3.0
246	analyser					1.0	2.0	19.0	21.0	6.0	2.0	10.0	42.0	7.0	28.0	13.0	6.0	5.0	37.0	2689.0		1.0					87.0	160.0	96.0	125.0		3.0		1.0		5.0	64.0	219.0	48.0	85.0	102.0	534.0	68.0	127.0	85.0	1398.0				3.0		1.0	6100.0
247	anamorphoser																																													1.0							1.0
248	anastomoser																			3.0								1.0									1.0									2.0							7.0
249	anatomiser																			1.0																																	1.0
250	ancrer					1.0	2.0					1.0	4.0					1.0	6.0	79.0								5.0	1.0	3.0						1.0	1.0	3.0	1.0	1.0	5.0	22.0	39.0	108.0	68.0	233.0				1.0			586.0
251	anesthésier		1.0						1.0				2.0						1.0	140.0							2.0	14.0	5.0	12.0							2.0	8.0	6.0	4.0	4.0	31.0	4.0	55.0	16.0	92.0							400.0
252	anglaiser																																									43.0											43.0
253	angler														11.0		12.0																																				23.0
254	angliciser																			1.0																										3.0							4.0
255	angoisser								1.0	1.0					18.0	2.0	1.0	6.0	40.0	126.0							2.0	4.0	32.0	17.0				2.0	1.0	6.0	1.0	167.0	9.0	41.0	23.0	197.0	3.0	134.0	14.0	152.0				1.0			1001.0
256	angéliser																			1.0																																	1.0
257	animaliser																																											1.0									1.0
258	animer				4.0	1.0	56.0		5.0	3.0	1.0		18.0	1.0	15.0	3.0	4.0	7.0	54.0	335.0					1.0		1.0	5.0	33.0	11.0		1.0	1.0	1.0		2.0	5.0	85.0	11.0	28.0	53.0	289.0	29.0	145.0	146.0	384.0							1738.0
259	aniser																												9.0													8.0		3.0									20.0
260	ankyloser																		1.0													1.0		1.0						2.0	6.0	7.0		6.0	2.0	6.0							32.0
261	anneler																												1.0																								1.0
262	annexer					2.0	2.0	1.0	1.0				1.0						2.0	54.0								1.0		7.0					1.0		1.0	1.0			2.0	5.0	5.0	14.0	7.0	36.0						3.0	146.0
263	annihiler						3.0	4.0	1.0			1.0	2.0	1.0	1.0	1.0				127.0							2.0	6.0		5.0		1.0				5.0	3.0	3.0	3.0	3.0	8.0	30.0	12.0	23.0	27.0	65.0							337.0
264	annoncer	1.0	5.0		1.0	10.0	105.0	43.0	160.0	43.0	30.0	32.0	215.0	19.0	49.0	27.0	10.0	44.0	248.0	6726.0							28.0	290.0	156.0	315.0	1.0	17.0	5.0	3.0	5.0	39.0	67.0	763.0	135.0	172.0	434.0	2625.0	59.0	217.0	88.0	2747.0		3.0	1.0	5.0			15943.0
265	annoter								1.0	1.0						1.0	1.0			15.0								1.0	3.0			1.0						3.0			1.0	2.0	5.0	8.0	12.0	27.0							82.0
266	annualiser																																													1.0							1.0
267	annuler		1.0			4.0	9.0	18.0	110.0	17.0	11.0	42.0	130.0	7.0	24.0	43.0	13.0	14.0	62.0	6370.0							65.0	1047.0	741.0	71.0	2.0	42.0	8.0	6.0	11.0	67.0	44.0	779.0	107.0	224.0	166.0	1307.0	199.0	1027.0	303.0	4901.0						1.0	17993.0
268	anoblir												4.0							18.0										1.0		1.0						1.0			2.0	9.0		6.0	6.0	37.0							85.0
269	anodiser																			1.0																								1.0		9.0							11.0
270	anthropomorphiser																			3.0																						1.0			2.0	1.0							7.0
271	anticiper						2.0		2.0			2.0	7.0	2.0	17.0	4.0	1.0	3.0	26.0	653.0							19.0	23.0	47.0	35.0						1.0	13.0	93.0	23.0	38.0	20.0	108.0	6.0	60.0	11.0	325.0				1.0			1542.0
272	antidater							1.0					2.0							9.0								2.0	4.0	2.0													3.0	6.0	4.0	14.0							47.0
273	antijouer														1.0		1.0		1.0								1.0										1.0		5.0		5.0												15.0
274	antinoter																													1.0																							1.0
275	antiparasiter																																																	1.0			1.0
276	antiqualifier																																								1.0												1.0
277	antiréagir																											1.0	1.0									5.0		8.0	1.0	8.0			3.0	15.0							42.0
278	antivitaminer																																								1.0												1.0
279	antivêtir																																																			1.0	1.0
280	antiéduquer																																												1.0	3.0							4.0
281	anéantir					4.0	1.0	25.0	48.0	8.0	5.0	24.0	126.0	1.0	2.0	5.0		4.0	7.0	1612.0							16.0	50.0	33.0	39.0	2.0	7.0	3.0	3.0	8.0	95.0	8.0	27.0	8.0	11.0	35.0	157.0	91.0	616.0	357.0	1130.0		8.0		1.0		16.0	4593.0
282	anémier						1.0																						3.0													2.0	1.0	6.0		6.0							19.0
283	aoûter																																								1.0												1.0
284	apaiser					1.0	6.0	1.0	6.0		5.0	20.0	140.0		1.0	1.0	1.0	1.0	28.0	1026.0							10.0	44.0	72.0	23.0		1.0		1.0	4.0	37.0	3.0	76.0	9.0	17.0	48.0	267.0	21.0	121.0	45.0	211.0				1.0			2248.0
285	apercevoir	10.0	50.0			19.0	124.0	8.0	11.0	41.0	67.0	71.0	180.0	5.0	27.0	21.0	6.0	4.0	59.0	1206.0							2.0	7.0	8.0	36.0		21.0	1.0	8.0	9.0	43.0	29.0	560.0	102.0	125.0	171.0	581.0	35.0	543.0	201.0	1993.0		52.0		57.0	2.0	295.0	6790.0
286	apeurer						2.0											1.0		8.0									1.0	4.0								1.0				2.0	5.0	61.0	23.0	81.0							189.0
287	apiquer																																					1.0															1.0
288	apitoyer		1.0				2.0	1.0	4.0		3.0		4.0		14.0	2.0	3.0	2.0	4.0	504.0							2.0	15.0	14.0	31.0		3.0			1.0	1.0		60.0	15.0	65.0	12.0	65.0	2.0	8.0	6.0	20.0							864.0
289	aplanir											3.0	5.0						1.0	70.0								4.0		2.0						1.0		1.0			4.0	8.0	1.0	3.0	3.0	17.0		2.0				1.0	126.0
290	aplatir								2.0	1.0	2.0	3.0	4.0		1.0	1.0		1.0	3.0	206.0							4.0	7.0	14.0	3.0		4.0	1.0		2.0	3.0		31.0		11.0	9.0	47.0	7.0	34.0	21.0	108.0		7.0		1.0		2.0	540.0
291	apologiser																												1.0													1.0											2.0
292	apostasier									1.0										4.0								4.0		1.0									1.0			1.0				4.0							16.0
293	aposter																																												1.0								1.0
294	apostropher																			2.0									1.0			1.0						1.0				13.0		2.0		2.0							22.0
295	appairer								1.0											2.0																			1.0			1.0			2.0	1.0							8.0
296	apparaître		4.0		1.0	76.0	316.0	4.0	37.0	14.0	7.0	89.0	426.0	1.0	14.0	28.0	5.0	94.0	283.0	2079.0						11.0	1.0	23.0	63.0	111.0		6.0	5.0	6.0	26.0	92.0	12.0	119.0	125.0	112.0	1053.0	2979.0	256.0	1153.0	529.0	2472.0		22.0	1.0	33.0		370.0	13058.0
297	appareiller	2.0					1.0	1.0	3.0	1.0		1.0	8.0	1.0	1.0				2.0	162.0							8.0	13.0	1.0	1.0						1.0	16.0	5.0	3.0	3.0	8.0	60.0		9.0	4.0	29.0							344.0
298	apparenter												1.0					2.0	12.0	20.0										1.0						4.0		1.0			14.0	119.0	11.0	43.0	75.0	96.0							399.0
299	apparier																			3.0								1.0													3.0	1.0	1.0	2.0	13.0	6.0							30.0
300	appartenir							4.0	40.0	19.0	32.0	58.0	367.0	15.0	189.0	33.0	48.0	528.0	2961.0	1039.0							3.0	16.0	56.0	1085.0		6.0	1.0	4.0	19.0	77.0	237.0	1211.0	444.0	863.0	2225.0	13624.0	2.0	12.0	2.0	553.0		12.0		18.0		188.0	25991.0
301	appauvrir											1.0	1.0					1.0	1.0	19.0								1.0		2.0					1.0		1.0	1.0	2.0		12.0	24.0	4.0	11.0	15.0	64.0							161.0
302	appeler	6.0	41.0		2.0	58.0	309.0	439.0	6264.0	346.0	592.0	392.0	2774.0	167.0	1621.0	850.0	633.0	1251.0	11327.0	66170.0						2.0	1623.0	21837.0	22377.0	843.0	23.0	1224.0	242.0	344.0	137.0	962.0	1336.0	50436.0	7884.0	15127.0	7906.0	61427.0	407.0	10413.0	2763.0	58011.0		20.0	39.0	40.0	1.0	38.0	358704.0
303	appendre							1.0	2.0	2.0			3.0							35.0									2.0					1.0				3.0				1.0											50.0
304	appert																			7.0																																	7.0
305	appesantir														3.0					32.0									1.0												1.0	3.0		3.0	2.0								45.0
306	applaudir					1.0	5.0	3.0	20.0	6.0	4.0	30.0	32.0	2.0	11.0	13.0	4.0	52.0	69.0	913.0					1.0		322.0	1099.0	43.0	39.0	1.0	24.0		3.0	9.0	16.0	14.0	162.0	54.0	27.0	221.0	847.0	2.0	55.0	38.0	301.0		13.0		1.0		33.0	4490.0
307	appliquer		2.0			6.0	4.0	27.0	35.0	13.0	5.0	16.0	63.0	7.0	34.0	12.0	18.0	37.0	94.0	1691.0							35.0	215.0	193.0	120.0		7.0	2.0	2.0	3.0	24.0	43.0	243.0	84.0	96.0	430.0	1389.0	87.0	236.0	38.0	473.0				2.0			5786.0
308	appointer																											1.0																	3.0	5.0							9.0
309	apponter												1.0						1.0	24.0								1.0		1.0											3.0	1.0			1.0	5.0							38.0
310	apporter		9.0		1.0	24.0	122.0	94.0	1240.0	152.0	144.0	159.0	1320.0	10.0	292.0	147.0	64.0	113.0	643.0	12514.0							82.0	4280.0	4207.0	398.0	4.0	154.0	39.0	56.0	21.0	370.0	225.0	4967.0	733.0	1267.0	872.0	4742.0	280.0	652.0	346.0	15052.0	1.0	4.0		12.0		5.0	55817.0
311	apposer		1.0				1.0		2.0	1.0	3.0	1.0	4.0			2.0			3.0	56.0								17.0	11.0	6.0							1.0	11.0	1.0	2.0	4.0	17.0	2.0	5.0	4.0	32.0							187.0
312	apprendre	14.0	195.0	1.0	99.0	48.0	484.0	149.0	1355.0	731.0	1115.0	407.0	2689.0	83.0	350.0	295.0	136.0	227.0	945.0	34062.0						3.0	146.0	1214.0	2321.0	818.0	13.0	247.0	64.0	123.0	35.0	220.0	393.0	2942.0	782.0	1438.0	1921.0	7388.0	206.0	739.0	5676.0	33900.0		632.0	3.0	725.0	1.0	1365.0	106700.0
313	apprivoiser						1.0	2.0	6.0	1.0	2.0		3.0		4.0			1.0	1.0	238.0							1.0	10.0	9.0	4.0			1.0			2.0	2.0	11.0	2.0	6.0	10.0	31.0	5.0	57.0	36.0	186.0							632.0
314	approcher	1.0	6.0			18.0	92.0	37.0	95.0	63.0	72.0	51.0	296.0	26.0	89.0	64.0	17.0	107.0	513.0	6312.0							108.0	5525.0	3611.0	374.0	1.0	75.0	5.0	10.0	10.0	53.0	607.0	867.0	571.0	919.0	1478.0	7346.0	33.0	406.0	172.0	1583.0		1.0	1.0	4.0	1.0	6.0	31626.0
315	approfondir							4.0	5.0			2.0	4.0			1.0			4.0	299.0							13.0	12.0	5.0	3.0						1.0	3.0	6.0	3.0	1.0	4.0	34.0	32.0	152.0	9.0	110.0		2.0				3.0	712.0
